%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1618582128979397629,-0.491299389585,-0.638067087029,0.380966456485,0.0,0.0,9.56615620331
1618582129011994423,-0.488676697945,-0.627848048367,0.386075975817,0.0,0.0,9.41294830076
1618582129045222066,-0.485618346936,-0.617204943463,0.391397528269,0.0,0.0,9.25338262801
1618582129079256147,-0.482306360852,-0.606765682925,0.396617158538,0.0,0.0,9.09687307128
1618582129112357354,-0.478542476191,-0.59589952515,0.402050237425,0.0,0.0,8.93396330095
1618582129146238606,-0.474424568491,-0.584923151498,0.407538424251,0.0,0.0,8.76940113024
1618582129177523505,-0.470364032542,-0.57482094083,0.412589529585,0.0,0.0,8.61794475956
1618582129212154157,-0.465578014851,-0.563639527837,0.418180236082,0.0,0.0,8.45030855729
1618582129245592697,-0.460447565157,-0.552353865684,0.423823067158,0.0,0.0,8.28110941004
1618582129279889472,-0.454976478939,-0.540966041734,0.429516979133,0.0,0.0,8.1103786124
1618582129310838355,-0.449694676466,-0.530495769061,0.43475211547,0.0,0.0,7.95340410937
1618582129347422941,-0.443399128636,-0.518576542829,0.440711728585,0.0,0.0,7.77470631681
1618582129379409577,-0.436950559894,-0.506900519623,0.446549740189,0.0,0.0,7.59965472099
1618582129412175569,-0.430585939656,-0.495825637808,0.452087181096,0.0,0.0,7.43361567662
1618582129445609367,-0.423514450838,-0.48396960813,0.458015195935,0.0,0.0,7.255865352
1618582129482695585,-0.415463186714,-0.470965822413,0.464517088793,0.0,0.0,7.06090741116
1618582129511984086,-0.408897925527,-0.460701408769,0.469649295615,0.0,0.0,6.9070192288
1618582129544234285,-0.401398241939,-0.449303272438,0.475348363781,0.0,0.0,6.73613382381
1618582129581242586,-0.392399152345,-0.436032534724,0.481983732638,0.0,0.0,6.53717363218
1618582129613250551,-0.384338628366,-0.424478014424,0.487760992788,0.0,0.0,6.3639436564
1618582129645589747,-0.375762476385,-0.412489596681,0.493755201659,0.0,0.0,6.18420851711
1618582129677449720,-0.367196055849,-0.400795806812,0.499602096594,0.0,0.0,6.00889055639
1618582129713174432,-0.357551209771,-0.387930604729,0.506034697636,0.0,0.0,5.81601031666
1618582129743921270,-0.348774305564,-0.376472135447,0.511763932276,0.0,0.0,5.64422037603
1618582129781508207,-0.337723464398,-0.362347483742,0.518826258129,0.0,0.0,5.43245796535
1618582129811818757,-0.328778150955,-0.351137146516,0.524431426742,0.0,0.0,5.26438811943
1618582129845122855,-0.31871978877,-0.338747437505,0.530626281248,0.0,0.0,5.07863666144
1618582129879197795,-0.308124382552,-0.325920573219,0.53703971339,0.0,0.0,4.88633119725
1618582129912248422,-0.297622540532,-0.313413299384,0.543293350308,0.0,0.0,4.69881716054
1618582129945502583,-0.286585597038,-0.300469924741,0.54976503763,0.0,0.0,4.5047649266
1618582129978882856,-0.275670439334,-0.287854068769,0.556072965616,0.0,0.0,4.31562298319
1618582130012437935,-0.264563161519,-0.275188057832,0.562405971084,0.0,0.0,4.12572909655
1618582130044371636,-0.253616309266,-0.262860053431,0.568569973284,0.0,0.0,3.94090273868
1618582130079696434,-0.241102800016,-0.248939671542,0.575530164229,0.0,0.0,3.73220282253
1618582130111867053,-0.229811481121,-0.23652257409,0.581738712955,0.0,0.0,3.54604074611
1618582130145536049,-0.217649611429,-0.223286994647,0.588356502677,0.0,0.0,3.34760766129
1618582130177597326,-0.206055895847,-0.210792208761,0.59460389562,0.0,0.0,3.16028084889
1618582130212553715,-0.193220927862,-0.197086566027,0.601456716986,0.0,0.0,2.95480038779
1618582130245086840,-0.181353289863,-0.184521821631,0.607739089184,0.0,0.0,2.76642472951
1618582130278536749,-0.168613884339,-0.171138702884,0.614430648558,0.0,0.0,2.56577967662
1618582130311939133,-0.156129787859,-0.158118911481,0.62094054426,0.0,0.0,2.37058177215
1618582130344296308,-0.143919998901,-0.145467326687,0.627266336656,0.0,0.0,2.180904168
1618582130379321715,-0.130071652256,-0.131205909252,0.634397045374,0.0,0.0,1.96709131096
1618582130411866254,-0.117671086385,-0.118506161747,0.640746919126,0.0,0.0,1.77669163223
1618582130445656497,-0.104411178911,-0.10499145364,0.64750427318,0.0,0.0,1.57407373919
1618582130480274983,-0.0910740286329,-0.0914573266135,0.654271336693,0.0,0.0,1.37116470996
1618582130512149418,-0.078459691523,-0.0787038274347,0.660648086283,0.0,0.0,1.17995916471
1618582130545423256,-0.0650008103921,-0.0651391535745,0.667430423213,0.0,0.0,0.976592165169
1618582130581988851,-0.0518916985585,-0.0519618955357,0.674019052232,0.0,0.0,0.77903345811
1618582130611824820,-0.0387464223872,-0.0387755837877,0.680612208106,0.0,0.0,0.581339014232
1618582130644996245,-0.0255741430778,-0.0255825158801,0.68720874206,0.0,0.0,0.383543279315
1618582130678766234,-0.0119841594389,-0.0119850202382,0.694007489881,0.0,0.0,0.179684202538
1618582130712545055,0.00161469001383,0.00161469211877,0.700807346059,0.0,0.0,-0.0242081081165
1618582130745501401,0.0148125252779,0.0148141509169,0.707407075458,0.0,0.0,-0.222099657813
1618582130778787883,0.0280000374039,0.0280110285349,0.714005514267,0.0,0.0,-0.419952509427
1618582130811975364,0.0411680357572,0.0412030255822,0.720601512791,0.0,0.0,-0.617732189578
1618582130845321707,0.054704959452,0.0547872471112,0.727393623556,0.0,0.0,-0.821392255562
1618582130881758661,0.0682014127248,0.0683613353471,0.734180667674,0.0,0.0,-1.02490039918
1618582130911746044,0.0808580449503,0.0811254425912,0.740562721296,0.0,0.0,-1.21626498477
1618582130944026983,0.0934616889414,0.0938762584243,0.746938129212,0.0,0.0,-1.40743030024
1618582130978940213,0.10717650028,0.107804777614,0.753902388807,0.0,0.0,-1.61625221404
1618582131013297376,0.120419103196,0.12131513151,0.760657565755,0.0,0.0,-1.81880482702
1618582131045176880,0.13280152507,0.134010306323,0.767005153161,0.0,0.0,-2.00913595012
1618582131078722211,0.145862307149,0.147474824942,0.773737412471,0.0,0.0,-2.21100138235
1618582131111668957,0.158435844485,0.160517266677,0.780258633339,0.0,0.0,-2.40653886962
1618582131144247774,0.170523000753,0.173137795107,0.786568897554,0.0,0.0,-2.59575086439
1618582131180383535,0.184358961752,0.18769478591,0.793847392955,0.0,0.0,-2.81399507522
1618582131211928277,0.195827401652,0.199859663772,0.799929831886,0.0,0.0,-2.99637577497
1618582131245759664,0.208266949024,0.213166383899,0.806583191949,0.0,0.0,-3.19587542928
1618582131278554763,0.220193368906,0.22604404864,0.81302202432,0.0,0.0,-3.38894251416
1618582131311970945,0.23196633173,0.238882328039,0.819441164019,0.0,0.0,-3.58141911828
1618582131344373164,0.24357763269,0.251678985185,0.825839492592,0.0,0.0,-3.77327170498
1618582131380091433,0.255706974249,0.265203229233,0.832601614616,0.0,0.0,-3.97603256466
1618582131411675498,0.266621468895,0.27752283154,0.83876141577,0.0,0.0,-4.16073295498
1618582131445590616,0.278026513082,0.290562542826,0.845281271413,0.0,0.0,-4.35622950629
1618582131478770161,0.288899495656,0.303167361826,0.851583680913,0.0,0.0,-4.54520597901
1618582131510997209,0.299250785674,0.315339791418,0.857669895709,0.0,0.0,-4.72769989731
1618582131546281137,0.310347724416,0.328594158219,0.86429707911,0.0,0.0,-4.92641464968
1618582131578748589,0.320587861778,0.341032189533,0.870516094767,0.0,0.0,-5.11289057491
1618582131611782010,0.330604575201,0.353410800261,0.876705400131,0.0,0.0,-5.29847564302
1618582131644318019,0.340390883842,0.365727833586,0.882863916793,0.0,0.0,-5.48313751814
1618582131679277506,0.350225559624,0.378351438487,0.889175719243,0.0,0.0,-5.67239563659
1618582131712108127,0.359523270812,0.390536860921,0.89526843046,0.0,0.0,-5.85508434876
